Ref,Val,Package,PosX,PosY,Rot,Side
"D91","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-16.350000,0.000000,top
"D92","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-16.350000,0.000000,top
"D93","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-16.350000,0.000000,top
"D94","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.500000,-16.350000,0.000000,top
"D95","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-16.350000,0.000000,top
"D96","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-16.350000,0.000000,top
"D97","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-21.350000,0.000000,top
"D98","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-21.350000,0.000000,top
"D99","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-21.350000,0.000000,top
"D100","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-21.350000,0.000000,top
"D101","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-21.350000,0.000000,top
"D102","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-21.350000,0.000000,top
"D103","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-21.350000,0.000000,top
"D104","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-21.350000,0.000000,top
"D105","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-21.350000,0.000000,top
"D106","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-21.350000,0.000000,top
"D107","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-21.350000,0.000000,top
"D108","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-21.350000,0.000000,top
"D109","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-21.350000,0.000000,top
"D110","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-21.350000,0.000000,top
"D111","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-21.350000,0.000000,top
"D112","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-21.350000,0.000000,top
"D113","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-21.350000,0.000000,top
"D114","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-21.350000,0.000000,top
"D115","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-21.350000,0.000000,top
"D116","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-21.350000,0.000000,top
"D117","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-21.350000,0.000000,top
"D118","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-21.350000,0.000000,top
"D119","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-21.350000,0.000000,top
"D120","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-21.350000,0.000000,top
"D121","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-21.350000,0.000000,top
"D122","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-21.350000,0.000000,top
"D123","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-21.350000,0.000000,top
"D124","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-21.350000,0.000000,top
"D125","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-21.350000,0.000000,top
"D126","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.500000,-21.350000,0.000000,top
"D127","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-21.350000,0.000000,top
"D128","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-21.350000,0.000000,top
"D129","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-26.350000,0.000000,top
"D130","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-26.350000,0.000000,top
"D131","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-26.350000,0.000000,top
"D132","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-26.350000,0.000000,top
"D133","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-26.350000,0.000000,top
"D134","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-26.350000,0.000000,top
"D135","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-26.350000,0.000000,top
